diggCount,followerCount,followingCount,heartCount,videoCount,downloadSetting,duetSetting,openFavorite,stitchSetting,verified,signatureLength,nicknameLength,nicknameNumSpecialCharacters,uniqueIdNumDigits,uniqueIdLength,fake
-0.2095684224181489,-0.1019009109562148,-0.2191091042233852,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,-0.2239089375685892,1
-0.1562837137089398,-0.1018683039798512,4.087095708881914,-0.1043643370522012,-0.2124389374217504,0,0,1,0,0,-0.4471524202598249,-1.1548301662375142,0,3,2.369393596669659,1
-0.053657016847895,-0.1016271960560356,0.0365375069199731,-0.1043102455804745,0.6410143971969912,0,0,0,0,0,-0.4471524202598249,-0.9229266358943296,2,0,2.69355641344944,0
-0.0894314077875925,-0.1018090603185708,-0.1029476744730935,-0.1043529259027341,-0.0969339748417703,0,0,0,0,0,-0.4471524202598249,0.0046874854784094,0,0,-0.8722345711281513,0
2.1108965691501416,0.4032775960859042,-0.4532612775783037,0.1579609380532355,2.097660314177851,3,1,0,0,1,0.3292905028729905,0.4684945461647789,0,0,-0.5480717543483703,0
-0.2063794572614498,-0.1019009109562148,-0.2008159656800321,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,0.1002538792111917,1
-0.2075390809547949,-0.1018108973313237,-0.4020404896569153,-0.1043525848798765,-0.106559388390102,0,0,0,0,0,-0.4471524202598249,1.3961086675375178,0,0,1.0727423295505347,0
-0.1947832203279984,-0.1019009109562148,-0.2438048412569117,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.4244166959909728,1
-0.203712322766756,-0.1019009109562148,-0.2191091042233852,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,0.1002538792111917,1
-0.2115397826968356,-0.1018990739434619,-0.1308447107517069,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.1002538792111917,1
-0.0472211053498294,-0.1017787496081483,-0.3553929863713651,-0.1043623171475829,-0.1867711679595326,0,0,0,0,0,-0.4471524202598249,0.2365910158215942,0,1,-0.5480717543483703,0
-0.2257451729403136,-0.1019004517030266,-0.4189616428095168,-0.1043643370522012,-0.1803542255939781,0,0,0,0,0,-0.4471524202598249,1.3961086675375178,3,3,1.0727423295505347,1
-0.2060895513381135,-0.1018995331966502,-0.1427352508048864,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,0.1002538792111917,1
-0.1250318551732883,-0.1015711671670728,-0.1875534402361012,-0.1042178808511099,1.09340883396858,0,0,0,0,0,-0.4471524202598249,-0.2272160448647753,0,3,1.0727423295505347,0
2.412398729419877,-0.1017925272037949,-0.41576034356443,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,1.1642051371943332,3,3,0.4244166959909728,0
8.57579865954929,-0.1016106629412597,0.4033149347142009,-0.1042415688234519,-0.2124389374217504,0,0,0,0,0,0.6689842817435974,1.1642051371943332,2,2,0.7485795127707539,0
-0.2060315701534462,-0.1019004517030266,-0.1889254256268527,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.1002538792111917,1
-0.2022627931500745,-0.1019004517030266,-0.2323716296673161,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,-0.2239089375685892,1
2.8298632590241275,-0.0997373691865099,-0.2342009435216514,-0.0785646462455815,0.1886199604254026,0,0,0,0,0,1.7365933010512185,0.4684945461647789,0,3,0.4244166959909728,0
-0.1223647206785944,-0.1018007937611828,-0.1445645646592216,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,1.1642051371943332,1,1,0.7485795127707539,0
-0.2016829813034019,-0.1018995331966502,-0.2232250603956396,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,0.1002538792111917,1
-0.2191932990729136,-0.1017691052911956,-0.2497501112835015,-0.104357437897466,-0.1578949273145376,0,0,0,0,0,-0.4471524202598249,2.0918192585670723,0,2,1.721067963110097,0
-0.2005813387947241,-0.1019004517030266,-0.2149931480511307,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.4244166959909728,1
-0.2026686614427453,-0.1018999924498384,-0.2410608704754088,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.1002538792111917,1
-0.2257451729403136,-0.101859578169275,-0.1390766230962157,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,3.677700608883257,-1.3867336965806991,0,0,-2.817211471806837,0
0.0982536869803182,-0.1016391366389293,0.363984686845992,-0.1043643108196737,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-1.8505407572670685,0,1,-1.5205602046877134,0
-0.1868977792132514,-0.1016327070942943,-0.1559977762488173,-0.1043621859849454,-0.1996050526906415,0,0,0,0,0,-0.4471524202598249,-1.1548301662375142,0,3,-1.1963973879079324,0
-0.168517743673731,-0.1015725449266374,-0.0654467404592199,-0.1038947748097625,-0.1129763307556564,0,0,0,0,0,0.6204565990477964,1.3961086675375178,0,2,1.396905146330316,0
-0.2234839067382906,13.078665590960892,-0.4683531168765699,5.039834307765416,2.6719766558949742,0,0,0,0,1,3.3865345127084514,1.3961086675375178,0,0,-0.2239089375685892,0
-0.2094524600488144,-0.1018999924498384,-0.2008159656800321,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.4244166959909728,1
-0.2099742907108197,-0.1018990739434619,-0.1537111339308982,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,0.1002538792111917,1
-0.2255132482016446,-0.1017916086974184,-0.4770423576846626,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.2272160448647753,0,3,-1.5205602046877134,0
-0.2219184147522746,-0.1018292674588525,-0.34761840249044,-0.1043632090535183,-0.1803542255939781,0,0,0,0,0,1.29984415678901,0.0046874854784094,1,0,-0.8722345711281513,0
0.3512835768682275,-0.1017888531782891,-0.0668187258499714,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-1.1548301662375142,0,0,-0.8722345711281513,0
-0.2222663018602782,-0.1014678351997232,-0.4683531168765699,-0.1043622384500004,-0.2060219950561959,0,0,0,0,0,-0.4471524202598249,1.1642051371943332,2,2,0.7485795127707539,0
-0.2063214760767825,-0.1018995331966502,-0.1299300538245392,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,0.1002538792111917,1
-0.2006973011640586,-0.1018999924498384,-0.2264263596407264,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.4244166959909728,1
-0.2115977638815029,-0.1019004517030266,-0.2181944472962175,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,0.1002538792111917,1
-0.1714747840917611,-0.1017075653639741,-0.2108771918788763,-0.1043602447779096,-0.1675203408628692,0,0,0,0,0,-0.4471524202598249,0.7003980765079637,0,1,0.1002538792111917,0
0.1669613908110176,-0.101732365036138,-0.3553929863713651,-0.1043592741743917,-0.1803542255939781,0,0,0,0,0,-0.4471524202598249,1.1642051371943332,0,1,0.7485795127707539,0
-0.2048719464601011,-0.1019004517030266,-0.2447194981840794,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.1002538792111917,1
-0.2257451729403136,-0.1018999924498384,-0.2396888850846573,-0.1043643370522012,-0.1771457544112009,0,0,0,0,0,-0.4471524202598249,0.7003980765079637,0,0,0.1002538792111917,1
-0.0783570015161464,-0.0723250056348398,-0.4688104453401537,-0.0923813184853849,-0.0006798393584536,0,0,0,0,1,1.396899522180612,1.3961086675375178,0,0,-2.4930486550270565,0
-0.2198890732889206,-0.1018765705372391,-0.4610358614592287,-0.1043642583546187,-0.2092304662389732,0,0,0,0,0,-0.4471524202598249,0.9323016068511484,3,3,0.4244166959909728,0
-0.2017989436727365,-0.1019009109562148,-0.2433475127933279,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,0,-0.2239089375685892,1
-0.1799400370531806,-0.1018545263842046,-0.3768874241598049,-0.1043519028341612,-0.0808916189278842,0,0,0,0,0,-0.1559863240850191,0.0046874854784094,2,2,-0.8722345711281513,0
-0.2257451729403136,-0.1014421170211829,-0.0242871787366756,-0.1043546834820774,-0.0873085612934386,0,0,0,0,0,3.1924237819252475,0.0046874854784094,2,0,-0.8722345711281513,0
-0.2254552670169773,-0.1016804694258692,-0.0279458064453462,-0.1043633139836283,-0.1899796391423098,0,0,0,0,0,0.5719289163519954,0.2365910158215942,0,3,-1.1963973879079324,0
-0.2080609116168002,-0.1015867817754723,0.0630625578078349,-0.1043436133554679,-0.1835626967767554,0,0,0,0,0,-0.4471524202598249,0.4684945461647789,2,2,0.4244166959909728,0
-0.2009292259027276,-0.1019004517030266,-0.1912120679447718,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.1002538792111917,1
-0.2013930753800657,-0.1018999924498384,-0.1601137324210717,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,0.4244166959909728,1
-0.1944933144046621,-0.1019004517030266,-0.1468512069771408,-0.1043643370522012,-0.2124389374217504,0,0,0,0,0,-0.4471524202598249,-0.45911957520796,0,3,-0.2239089375685892,1
2.105098450683416,-0.1017939049633595,-0.1614857178118232,-0.1043614514741751,-0.1611033984973148,0,0,0,0,0,-0.4471524202598249,0.7003980765079637,0,3,1.0727423295505347,0
